"movie_id","primaryTitle","originalTitle","genre","runtimeMinutes","releaseYear","language","averageRating"
8243286,"Goalie","Goalie","Drama",111,2019,"en",6
8243286,"Goalie","Goalie","Biography",111,2019,"en",6
8243286,"Goalie","Goalie","Sport",111,2019,"en",6
8244784,"The Hunt","The Hunt","Horror",90,2020,"en",7
8244784,"The Hunt","The Hunt","Thriller",90,2020,"en",7
8244784,"The Hunt","The Hunt","Action",90,2020,"en",7
8246392,"Get In","Furie","Drama",97,2019,"en",6
8246392,"Get In","Furie","Horror",97,2019,"en",6
8246392,"Get In","Furie","Thriller",97,2019,"en",6
8246980,"What a Country!","Koja je ovo drzava!","Drama",118,2018,"en",7
8246980,"What a Country!","Koja je ovo drzava!","Comedy",118,2018,"en",7
8247470,"Rosie","Rosie","Drama",86,2018,"en",7
8248820,"Organ","Ano Hi No Orugan","Family",119,2019,"en",6
